http://british-library.georeferencer.com/id/,path,title,link
002OSD000000007U00049000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000007U00049000.tif,Berwick St. John,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000007u00049000.html
002OSD000000008U00078000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000008U00078000.tif,Bentworth,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000008u00078000.html
002OSD000000008U00085000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000008U00085000.tif,"Brentwood, Essex",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000008u00085000.html
002OSD000000009U00093000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000009U00093000.tif,Buntingford,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000009u00093000.html
002OSD000000009U00099000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000009U00099000.tif,Baldock,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000009u00099000.html
002OSD000000009U00114000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000009U00114000.tif,Bampton,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000009u00114000.html
002OSD000000009U00126000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000009U00126000.tif,Bristol 9,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000009u00126000.html
002OSD000000010U00172000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000010U00172000.tif,Bridgenorth,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000010u00172000.html
002OSD000000012U00222000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000012U00222000.tif,Burton Overy,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000012u00222000.html
002osd000000012u00235000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000012U00235000.tif,Boston,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000012u00235000.html
002OSD000000013U00249000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000013U00249000.tif,Brigg,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000013u00249000.html
002OSD000000013U00264000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000013U00264000.tif,Bala,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000013u00264000.html
002OSD000000015U00371000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000015U00371000.tif,"Boughton Street, Kent(002OSD000000015U00371000)",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000015u00371000.html
002OSD000000015U00372000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000015U00372000.tif,"Boughton Street, Kent(002OSD000000015U00372000)",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000015u00372000.html
002OSD000000015U00374000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000015U00374000.tif,"Bishopsbourne, Kent",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000015u00374000.html
002OSD000000016U00350000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000016U00350000.tif,Beddlested (Kent),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000016u00350000.html
002OSD000000017U00335000,2019_06\2019-02 Zoomify Geo - Folder 2\Collection British FDRIVE One Standardised 002-003\002OSD000000017U00335000.tif,Bridgewater,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000017u00335000.html
002OSD000000018U00007000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000018U00007000.tif,"Bodmin, Cornwall",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000018u00007000.html
